"package","feature","feature_label","classification","source_ids","evidence_note","verified_on"
"march","clustering","Sequence clustering","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
"march","cluster_stability","Cluster stability or typology validation","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
"march","transition_networks","Transition-network construction and analysis","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","higher_order_markov","Higher-order or variable-memory Markov models","native_specialist","march-manual","Homogeneous Markov chains of arbitrary order, MTD models, HMMs, and double-chain Markov models are directly documented.","2026-08-06"
"march","categorical_hmm","Categorical hidden Markov models","native_specialist","march-manual","Homogeneous Markov chains of arbitrary order, MTD models, HMMs, and double-chain Markov models are directly documented.","2026-08-06"
"march","mixture_hmm","Mixture hidden Markov models","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","multichannel_hmm","Multichannel hidden Markov models","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","covariate_hmm","Covariate-dependent latent-state models","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
"march","time_varying_models","Time-varying sequence models","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
"march","design_aware_inference","Declared-design group inference or randomization","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
"march","analysis_contracts","Declared analysis-capability contracts","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","march-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"march","specialist_interoperability","Documented interoperability with specialist sequence software","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
